tweet_id, user_id
'541837274535587840','569979900'
'541837278104928257','2818550773'
'541837280923488257','79216335'
'541837283930808321','421938080'
'541837287286243328','375485740'
'541837289198866432','725782250'
'541837289211428864','2914514611'
'541837290088042496','518342912'
'541837291065319424','2426782195'
'541837291593822210','230753198'
'541837291589627904','2853056828'
'541837292298452993','257420599'
'541837297641979904','560180808'
'541837297943977985','2428381658'
'541837300670271488','2920594274'
'541837302620622850','2284806632'
'541837304738762753','1923579679'
'541837306324205568','2175444978'
'541837306533904384','2857821354'
'541837310623358976','115606558'
'541837313626484736','2476930862'
'541837313957834753','2489299339'
'541837314247643136','362761183'
'541837317602676737','1892924749'
'541837323361464320','289469513'
'541837324339138560','456895029'
'541837325521539072','530838980'
'541837326192631808','827807634'
'541837328780492801','856338913'
'541837332039483392','260486846'
'541837337697607680','44231694'
'541837341115944960','205995365'
'541837343015960578','2880286795'
'541837344001642496','330951313'
'541837345633218560','223057946'
'541837352604168192','527397731'
'541837354097336320','292203668'
'541837354869067776','17666382'
'541837355103956993','2669956022'
'541837355607265282','248585481'
'541837356588740609','287144154'
'541837358060941313','38811448'
'541837363165409280','64991751'
'541837363198971906','2687459712'
'541837369666994176','43151141'
'541837369922428928','855619513'
'541837370178273280','66860557'
'541837370450907137','9157232'
'541837370752901120','2881006608'
'541837371587559425','166162149'
'541837371868602368','2489299339'
'541837372636164096','16969389'
'541837377065738240','178304926'
'541837377086291969','1692961405'
'541837377145024514','240520338'
'541837378248122369','1036278290'
'541837378575294466','78834278'
'541837381263835136','2809638932'
'541837382626979840','1614809041'
'541837384149528576','2188096322'
'541837384388595712','189550445'
'541837385588150273','1956498680'
'541837386754191360','1704215149'
'541837386981048320','178304926'
'541837386984869888','47550149'
'541837387140067330','2442901981'
'541837387744047105','1100945418'
'541837388197015552','2868632510'
'541837388729688065','2869877811'
'541837389274951680','1453215841'
'541837391552446464','2875142215'
'541837393171464192','291007338'
'541837397927804928','315268641'
'541837398640832512','1011177798'
'541837398980558848','70269520'
'541837401656541185','192055678'
'541837402587680768','531939413'
'541837403577532416','550054002'
'541837404198277121','393914080'
'541837408551981056','2443421005'
'541837410078703617','134797707'
'541837413383819264','2509935019'
'541837414231461888','1012121880'
'541837415892021248','149811385'
'541837416362180608','1012121880'
'541837418375024641','1480027370'
'541837419222269954','566169224'
'541837421336223744','1892745674'
'541837422456107008','588865939'
'541837423299158017','1956147692'
'541837424268034048','289783224'
'541837424532279299','149868497'
'541837424989437952','1049010888'
'541837426402930688','132386099'
'541837426650382336','41539077'
'541837426671362048','121086881'
'541837429271842818','255833860'
'541837431389962242','2813202012'
'541837433013170177','79136589'
'541837434036551680','588865939'
'541837434741211136','2853056828'
'541837435001245696','1446411714'
'541837435970129920','2841511232'
'541837437077434370','518994809'
'541837437379424256','439726787'
'541837437878562817','176862355'
'541837440432893952','357530601'
'541837441934827520','195720952'
'541837444371324928','2396171959'
'541837444765609984','2467758799'
'541837444866252800','1505070510'
'541837445700931584','265965124'
'541837446573330432','2169756554'
'541837446946635776','622761757'
'541837447504490496','2464845062'
'541837447814864896','2835817898'
'541837447982637056','302378372'
'541837448884404224','201660619'
'541837449593249792','184364453'
'541837449811349504','304161926'
'541837450222391297','481262697'
'541837450230788097','403204901'
'541837451732332545','142513771'
'541837453682671618','32814428'
'541837454936780801','2646676440'
'541837456786477056','2169756554'
'541837462239068160','2809638932'
'541837462390059008','2813202012'
'541837463019196416','1345653746'
'541837464864702465','236801635'
'541837466160730112','184364453'
'541837466311720960','101737720'
'541837466701795328','188998712'
'541837467536482306','2353715125'
'541837468530520064','1425541849'
'541837469356793857','327829346'
'541837471034515456','583445956'
'541837471659483136','1118325870'
'541837473723084800','2149109216'
'541837474385776641','96464030'
'541837475019100161','1453215841'
'541837476705234944','2259929838'
'541837482451824640','15872418'
'541837482581426176','375485740'
'541837483269312512','69738606'
'541837483885879296','2249900844'
'541837485022515200','391820711'
'541837486419628032','397794783'
'541837486784147456','450636865'
'541837487757615104','2689432662'
'541837488055386113','2212891281'
'541837488416096256','307795569'
'541837488658989056','1091346968'
'541837488684142592','1364900190'
'541837495722201088','289206050'
'541837496070336512','282484291'
'541837495810260993','1046864604'
'541837498834366464','143339370'
'541837499891331074','2399919138'
'541837499392200705','2913533204'
'541837500495708160','716520236'
'541837502273683456','35324510'
'541837504450527233','2703628260'
'541837512327434240','1279249626'
'541837517092577280','540954044'
'541837519461961728','1010011194'
'541837519470358528','123200497'
'541837519591993345','497826053'
'541837520527712256','2425452606'
'541837521311641600','727692608'
'541837521802387457','554447472'
'541837522658013185','1091346968'
'541837523157143553','51664587'
'541837523358478336','330707588'
'541837525984100353','106563145'
'541837528089636865','43087708'
'541837529385693184','168055553'
'541837529708654593','1046864604'
'541837529725415424','2828058109'
'541837529926758400','151459587'
'541837530178416640','470725227'
'541837530744635392','1693431900'
'541837530924994560','379122031'
'541837531109548032','364597100'
'541837532087218176','85325030'
'541837536931237889','2166469921'
'541837538730577920','38804590'
'541837539976310784','2456458213'
'541837539586224129','1032449292'
'541837540764819457','604470978'
'541837544854282240','2920044230'
'541837549950730240','1566855433'
'541837550805983232','264526590'
'541837551821004800','1956147692'
'541837553205141504','304831733'
'541837554056577024','1693483321'
'541837555247771648','2371712767'
'541837557252624386','587132009'
'541837558305411072','1376604865'
'541837558435442688','51664587'
'541837558628745216','291349358'
'541837560750673920','204767092'
'541837563154034689','263489575'
'541837563871649792','11656332'
'541837564936589312','594254620'
'541837565049831424','145525306'
'541837567188946945','65888628'
'541837568413675520','213646048'
'541837569835540480','204767092'
'541837570053656576','1693483321'
'541837570259181568','152491277'
'541837571957850112','770240462'
'541837573987921920','395707247'
'541837574239559680','198022367'
'541837574638034945','156540537'
'541837577532084224','569771798'
'541837577779552256','1284942336'
'541837579134312448','465415971'
'541837579625046018','2225135490'
'541837580405198848','2888600605'
'541837581009174529','1545186277'
'541837582774968320','2221208198'
'541837582875635712','2247991128'
'541837583529951232','1017155640'
'541837583039229952','133095341'
'541837586738597888','1532677099'
'541837587044777984','1956147692'
'541837588500197376','2820615258'
'541837588961566720','44728980'
'541837589578145792','260537964'
'541837590324736000','284913484'
'541837596062924801','132923326'
'541837596117065728','143739132'
'541837598356819968','495571392'
'541837599552176128','1645187708'
'541837604153339904','61759070'
'541837604954865664','2388039559'
'541837605273227264','2371586976'
'541837605529088000','1396745042'
'541837605986250752','740719796'
'541837606275670018','2770146127'
'541837607785598976','2533050702'
'541837608330878976','2804195766'
'541837608548986880','285438065'
'541837610767761408','2221208198'
'541837611497570304','1892970326'
'541837611539513347','148235049'
'541837613254979585','334661221'
'541837616333590528','297487958'
'541837617336442880','456895029'
'541837618422378496','1950644642'
'541837619714207745','2920687274'
'541837620477562881','12819322'
'541837621111296000','156875867'
'541837622331445249','2899856802'
'541837623635869698','1569924121'
'541837623677829122','2534610091'
'541837629323374594','79064826'
'541837632984981504','417685355'
'541837634650140672','961054086'
'541837639536500736','149577689'
'541837642732539904','189860499'
'541837643378458624','2335014061'
