tweet_id, user_id
'508332152073625601','1130982613'
'508332154271461376','206084764'
'508332173532073985','118521116'
'508332177608568832','13585102'
'508332184613027840','2574189092'
'508332187448401920','231794194'
'508332198714294272','416661318'
'508332211821490176','1621684056'
'508332237591293952','1683330548'
'508332247867355136','2542577648'
'508332247900901376','2653257906'
'508332262317113345','1614270654'
'508332271381008384','68567070'
'508332273280622592','2280145622'
'508332276032487426','1292371766'
'508332287524499456','2742953851'
'508332291190689792','777591235'
'508332314561376256','38700878'
'508332328004091904','2741951881'
'508332338988601344','481865941'
'508332340817719296','2246067235'
'508332342176677888','2154869502'
'508332342717325312','796184467'
'508332350187397120','1225999662'
'508332364867829760','164039114'
'508332370202591232','136610678'
'508332371192467456','1536412436'
'508332372069064704','1536412436'
'508332372027125760','1241628990'
'508332375772647424','187399253'
'508332384572694528','2495201868'
'508332396911923202','464762477'
'508332409847549953','1256433319'
'508332410631487488','1672787334'
'508332411315167232','465334690'
'508332422765613056','2540278160'
'508332439756754944','15798125'
'508332473583808512','56349269'
'508332477140590592','233016746'
'508332478226919424','149585330'
'508332488599425024','2653303867'
'508332489215979520','2262458196'
'508332502600015872','72838050'
'508332506349711360','28515803'
'508332514180866048','2405023182'
'508332510950862848','111403403'
'508332520103243776','2610059929'
'508332524200673281','1874804214'
'508332534464118784','26971429'
'508332538608111616','1874804214'
'508332549643726848','146860103'
'508332561332846593','146069382'
'508332570501971968','597593899'
'508332572091613184','68682900'
'508332572988813312','45126062'
'508332579150254081','110212963'
'508332593470005248','64408447'
'508332595566739456','2680435316'
'508332595268947969','424371699'
'508332607675695104','1047990986'
'508332612855685120','102387306'
'508332623928639488','2653303867'
'508332632908652544','146786400'
'508332642014478336','122989422'
'508332644598177792','2323664845'
'508332651527553024','560438237'
'508332653615927296','1030702004'
'508332654383865856','944542392'
'508332659085303808','380987592'
'508332660662337536','416661318'
'508332668878987264','262678932'
'508332676101984256','784549788'
'508332686763515905','312291830'
'508332715121201152','952482679'
'508332732900859904','2494067463'
'508332742879105025','65012360'
'508332749929725952','2794503402'
'508332750038761473','30253413'
'508332752916078592','41662329'
'508332776198639616','727993232'
