tweet_id, user_id
'541097304531300353','1021809451'
'541097305491767296','31123325'
'541097305852489728','1343677716'
'541097313100251136','385228587'
'541097321010716672','18788445'
'541097325955805184','595227445'
'541097332641517568','1067915624'
'541097333509722112','15448383'
'541097333824708608','1200985478'
'541097333685903360','807134468'
'541097338068930560','471800436'
'541097345044082688','1291104019'
'541097348563480576','2443390747'
'541097348605018112','2754914916'
'541097352577429504','43050160'
'541097353403314176','1642116446'
'541097354255155200','941854609'
'541097371195568128','2202769243'
'541097372240318464','17401488'
'541097372269293570','277345004'
'541097375826448384','944744893'
'541097390241886208','2911753754'
'541097404578402304','378364029'
'541097405794353153','477239871'
'541097407396577280','631839593'
'541097414531104768','138461498'
'541097418012786688','153876973'
'541097429211566081','2716639343'
'541097439860494336','228275081'
'541097445334069248','5890932'
'541097460395827200','606293253'
'541097464422334464','774727758'
'541097470034341889','2503911218'
'541097470604746752','90535353'
'541097474274775040','2917701002'
'541097479987396609','134809757'
'541097486593441793','121158213'
'541097490657734656','321448767'
'541097496320413696','1944079380'
'541097513525075969','2372761622'
'541097515601244161','303596245'
'541097518130417664','196485937'
'541097522622509057','2386242674'
'541097549243744256','308994450'
'541097551894560768','1430346745'
'541097552506937344','928806674'
'541097552419229696','2787533820'
'541097553710702592','30429964'
'541097555375845376','5959012'
'541097569443926016','74366758'
'541097583863537665','196192335'
'541097587487436800','2510592210'
'541097589559410688','1384636009'
'541097591769792512','44728980'
'541097608388018176','28403738'
'541097626179883008','164214163'
'541097626280550400','871141279'
'541097626653827074','1028454576'
'541097626641235968','1037090653'
'541097627148763136','1017380100'
'541097627060690946','857925152'
'541097627790888961','423862408'
'541097629195567104','2758278067'
'541097629296250880','1016868296'
'541097629367537665','1241397930'
'541097631259586560','2236987501'
'541097630990757888','374876626'
'541097634849497089','1619578879'
'541097635415732224','577916371'
'541097636376231937','2736139237'
'541097638423445504','46915678'
'541097641044484097','2826419298'
'541097642399264769','2711718342'
'541097644357976064','276493272'
'541097645410766848','36899741'
'541097648007049216','869877654'
'541097648053174273','769669604'
'541097649248563200','1953175116'
'541097651182129153','207976588'
'541097652415238145','1281806851'
'541097654084579328','2457740801'
'541097654378188802','90535353'
'541097655922098176','26946360'
'541097656895164416','60042287'
'541097657737834496','2461997816'
'541097658337611777','1156117957'
'541097659134533632','521031427'
'541097659772071937','2666076356'
'541097663404331008','359117125'
'541097664385798144','1695857606'
'541097666998829056','1449507504'
'541097669569957889','297443753'
'541097674053648384','1492378968'
'541097676566056960','38169764'
'541097677383925760','2303485002'
'541097677774016513','110877530'
'541097682542919680','5890932'
'541097686020022272','264303124'
'541097687664168960','953301014'
'541097688419549184','182308471'
'541097691028025345','46383365'
'541097695801528321','38065993'
'541097704302972928','2868793770'
'541097705872048128','2677539528'
'541097709088694272','130110470'
'541097711421104128','55685632'
'541097713366880257','459133711'
'541097715073966080','196512802'
'541097725358403584','142173597'
'541097726352429056','2918651893'
'541097727036510208','2461139256'
'541097728231870464','231500791'
'541097737522270208','2744537131'
'541097745495232512','147934146'
'541097746136969217','2794022444'
'541097746254819328','163430918'
'541097750319099904','228241158'
'541097753162420224','1196816378'
'541097758518542336','1323655412'
'541097760435761152','2446614943'
'541097764369625088','264303124'
'541097765011345409','2151541104'
'541097766454177793','16245906'
'541097770967244800','193770764'
'541097772951146497','79030985'
'541097773639036928','2736139237'
'541097773915844609','1649615838'
'541097775165763584','2287817646'
'541097776478953472','31352817'
'541097779116793856','16960979'
'541097787136700416','500576899'
'541097787039809536','1634301199'
'541097787795210240','91421238'
'541097787136675841','846652436'
'541097788541378561','182308471'
'541097788746919936','35436247'
'541097793310707712','297282977'
'541097793524224000','95719507'
'541097796019814401','310689662'
'541097803687424000','159079310'
'541097804752355328','583746820'
'541097811417104384','354259145'
'541097814260846592','22452841'
'541097818828439552','2826419298'
'541097821273743360','2438448790'
'541097830530551808','63732864'
'541097833911156736','710987654'
'541097834578075648','818934920'
'541097838986285057','2449230319'
'541097839124701184','963852260'
