tweet_id, user_id
'592871440598376450','3145345159'
'592871441693024259','181133738'
'592871441990844417','795424940'
'592871442087354368','8924242'
'592871442041176064','273226753'
'592871442276057090','159190603'
'592871442443837443','395012142'
'592871443265941505','2258957347'
'592871443421110272','816683198'
'592871443316273152','6700672'
'592871444176097281','1078050307'
'592871445157584897','314085331'
'592871445522415617','71715193'
'592871445170167808','3145345159'
'592871445996384257','887340668'
'592871446289997824','181133738'
'592871446139019264','410209056'
'592871446277398529','89719787'
'592871447225303042','304423726'
'592871447518912513','2294234894'
'592871447753838592','261608494'
'592871448211005442','592541563'
'592871448961753089','588762748'
'592871449104359427','2869867505'
'592871449238573057','2343484326'
'592871449846751233','1631468798'
'592871449813241856','3145345159'
'592871450735976453','2169730346'
'592871450865971202','15829574'
'592871450719166467','385849204'
'592871451482574848','2780643819'
'592871452661194754','2741698794'
'592871452694736897','1336727028'
'592871452656926720','28595126'
'592871452753469440','364261383'
'592871453080555521','150678013'
'592871453361610752','228545781'
'592871453466480640','20017821'
'592871453936263169','2676126961'
'592871454502428673','236697423'
'592871454536036352','257547189'
'592871454540222466','15486485'
'592871455752335361','20616753'
'592871455895003138','2384604294'
'592871456272420865','2676126961'
'592871456511496195','2959242805'
'592871456905756672','2790653286'
'592871457006452737','3000648080'
'592871457417515009','93481615'
'592871457316839426','96363359'
'592871458248007680','2372994251'
'592871458008862722','1581901968'
'592871458369630209','2941344360'
'592871458877104128','3112174040'
'592871458839339008','438321302'
'592871459590184962','181133738'
'592871457891479553','3121075838'
'592871460076724227','2290143877'
'592871459896295424','2591491824'
'592871460626104320','2941435537'
'592871460617748481','2802859470'
'592871461431422976','203476924'
'592871461511127041','220235361'
'592871461456637952','858745585'
'592871461494398978','567817247'
'592871461817348098','1629892242'
'592871462492631043','2968399021'
'592871462790389760','2758865494'
'592871462949761025','2533617420'
'592871464241594370','2291659363'
'592871464606572545','43610898'
'592871464757547009','1888087669'
'592871464803704834','3151993599'
'592871464845598721','1652295840'
'592871464803631105','2980165697'
'592871465751547904','3020880347'
'592871466338787328','19497635'
'592871466355585024','21014502'
'592871466548514816','2900791410'
'592871466737258497','150678013'
'592871466313621507','893768719'
'592871466921766915','2183090545'
'592871467441909761','2831597351'
'592871467987132416','1307299412'
'592871468519845895','193201699'
'592871468888924161','251611842'
'592871468746285057','3112174040'
'592871469060882432','2192180168'
'592871468972777474','2190473767'
'592871469023125504','370402325'
'592871469463511041','90979621'
'592871469891330048','20722768'
'592871470122033152','1506159050'
'592871469761323008','902908524'
'592871470407221249','485338788'
'592871471699107842','181133738'
'592871472789598208','64985621'
'592871472667983872','2314068961'
'592871473116803072','2887578170'
'592871473221599232','21138265'
'592871474245033984','1442747870'
'592871474454732800','181133738'
'592871475151032321','118250611'
'592871475146784768','2888012514'
'592871477302710274','3112174040'
'592871477478891520','73942592'
'592871477407514626','23445188'
'592871477600493568','181133738'
'592871478183485442','104774982'
'592871478032470016','2520080013'
'592871478565203969','2451375666'
'592871478816854019','839951378'
'592871479844429824','1644035611'
'592871481241108480','488949219'
'592871481576726528','281381466'
'592871481870262272','181133738'
'592871482088419328','322423920'
'592871482595893248','1020397926'
'592871482893664257','433100724'
'592871483136933888','2885025186'
'592871483812241409','38560234'
'592871483694809088','594262147'
'592871483938086912','46946053'
'592871484143575043','2821966501'
'592871484298764290','15206951'
'592871484449792001','181133738'
'592871485485776897','181133738'
'592871485338955777','187431019'
'592871485783613442','255671571'
'592871486479802369','2809901188'
'592871486664396801','915877988'
'592871486559526913','3098711155'
'592871487142547456','117070559'
'592871487331278850','342287543'
'592871487507431424','374364001'
'592871487620677634','2809901188'
'592871487650029568','2474711827'
'592871488031711233','3153528561'
'592871488098869249','26784158'
'592871488321097729','1032741385'
'592871488199520257','104527191'
'592871488031711232','181133738'
'592871487662649345','2987516274'
'592871488463704068','96728866'
'592871488786685953','963008491'
'592871488082059264','303862998'
'592871489931767808','1513732940'
'592871489952677889','358620064'
'592871490317623296','181133738'
'592871490745434113','205391979'
'592871491127136256','2760415925'
'592871490506399744','481011796'
'592871491575926784','2461997816'
'592871491311632386','465996600'
'592871491831799808','3124658212'
'592871493148770305','462100714'
'592871492951646208','181133738'
'592871493664661506','20974316'
'592871493685649411','2258340776'
'592871493710786560','547287442'
'592871495015206913','2821966501'
'592871495199805440','37273570'
'592871495799599104','181133738'
'592871496101527552','2896096735'
'592871496885870594','31620661'
'592871496911036419','551712326'
'592871497632452608','310996466'
'592871497389232130','16113662'
'592871497506643968','518338743'
'592871498324508673','382931608'
'592871498161004546','181133738'
'592871498647511041','2520759674'
'592871499998089217','15992643'
'592871500501413889','1475021396'
'592871500744626176','145671347'
'592871500677525504','3146654226'
'592871501403201537','124444589'
'592871501369581568','2461997816'
'592871501696782336','2468272418'
'592871502116167680','716070337'
'592871502246207489','3124658212'
'592871502103617536','272278343'
'592871503177359360','2533258312'
'592871503399657472','1172683728'
'592871503408037888','2437159128'
'592871503970082816','187431019'
'592871504012009472','874399680'
'592871504674697218','2976484124'
'592871505102544896','1279404907'
'592871505383530497','610347934'
'592871505945600002','831873577'
'592871506939641856','604251115'
'592871508478992385','271576900'
'592871508315348992','43474375'
'592871508776747008','281948138'
'592871508730638337','1641631663'
'592871509993074690','1262804370'
'592871510546722816','2170305896'
'592871512065101826','133625683'
'592871512442609668','278820730'
'592871512882937856','2502649802'
'592871511645622273','314827866'
